schoolName,overallRecord,winPercent,conferenceRecord,conference,state,city,headCoach,coachPhone,nickname,rpiRanking,rosterDistribution,goalsFor,goalsAgainst,description,schoolUrl,schoolSize,undergradPopulation,inStateTuition,outOfStateTuition,address,facultyRatio,acceptanceLevel,acceptanceRate
Lipscomb (Men's),12-4-1,0.75,4-1-1,Atlantic Sun,Tennessee,Nashville,Charles Morrow,615-498-5366,Bisons,Conference Standing: 1,"SO,FR,FR,SO,SR,SR,FR,SR,SO,JR,SO,JR,JR,JR,JR,SO,FR,SR,SR,FR,JR,FR,SO,FR,JR,FR,SO,FR",33,24,"A medium-sized, 4-year, private university and liberal arts college. This coed college is located in a very large city in a suburban setting and is primarily a residential campus. It offers associate, bachelor's, master's and doctoral degrees.",www.lipscomb.edu,Medium-sized,"2,883","$28,624","$28,624","One University Park Drive, Nashville, TN 37204",12:1,Somewhat selective,56
North Florida (Men's),8-6-1,0.57,3-2-1,Atlantic Sun,Florida,Jacksonville,Derek Marinatos,864-915-9683,Osprey,Conference Standing: 4,"FR,JR,JR,SR,SR,SO,JR,SR,JR,JR,SO,SO,JR,JR,FR,JR,SR,JR,SR,SO,SO,SO,FR,SO,SO,SR",31,24,"A medium-sized, 4-year, public university. This coed college is located in a very large city in an urban setting and is primarily a residential campus. It offers associate, bachelor's, master's and doctoral degrees.",www.unf.edu,Medium-sized,"14,121","$6,385","$20,789","1 UNF Drive, Jacksonville, FL 32224",20:1,Somewhat selective,61
Northern Kentucky (Men's),6-10-4,0.38,1-4-1,Atlantic Sun,Kentucky,Highland Heights,John Basalyga,859-496-6394,Norse,Conference Standing: 6,"JR,SR,SR,JR,SR,SO,SR,FR,FR,JR,SO,FR,SR,JR,SR,SR,JR,FR,FR,JR,FR,SO,JR,FR,JR,FR,JR,FR,SO",17,31,"A medium-sized, 4-year, public university. This coed college is located in a small town in a suburban setting and is primarily a commuter campus. It offers certificate, associate, bachelor's, master's and doctoral degrees.",www.nku.edu,Medium-sized,"12,809","$8,856","$17,328","Nunn Drive, Highland Heights, KY 41099",17:1,Less selective,93
Stetson (Men's),8-7-2,0.53,4-2-0,Atlantic Sun,Florida,DeLand,T. Logan Fleck,386-822-8123,Hatters,Conference Standing: 2,"SR,SO,SR,SR,SO,SR,SR,SR,JR,JR,SO,SR,SO,SO,SR,SR,JR,SO,SR,SR,SO,SO,SO,SO",34,28,"A medium-sized, 4-year, private university. This coed college is located in a large town in a suburban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.stetson.edu,Medium-sized,"2,841","$41,590","$41,590","421 North Woodland Boulevard, DeLand, FL 32723",12:1,Somewhat selective,61
USC Upstate (Men's),4-10-1,0.29,2-3-0,Atlantic Sun,South Carolina,Spartanburg,Greg Hooks,864-503-5117,Spartans,Conference Standing: 5,"JR,SO,JR,JR,FR,JR,SO,SR,SR,SR,SR,JR,JR,SO,FR,JR,FR,FR,JR,JR,FR,JR,SO,SO,FR,SO,SO,FR,FR,JR,FR,SO",21,33,"A medium-sized, 4-year, public university. This coed college is located in a small city in a suburban setting and is primarily a commuter campus. It offers bachelor's and master's degrees.",www.uscupstate.edu,Medium-sized,"5,334","$10,818","$21,468","800 University Way, Spartanburg, SC 29303",16:1,Somewhat selective,53
Butler (Men's),6-7-5,0.46,2-5-2,Big East,Indiana,Indianapolis,Paul Snape,248-709-0138,Bulldogs,Conference Standing: 8,"SO,FR,FR,SR,SR,FR,FR,JR,FR,SR,JR,SO,FR,SR,JR,JR,SO,SR,SO,SO,JR,JR,FR,JR,SR,FR",18,19,"A medium-sized, 4-year, private university. This coed college is located in a very large city in a suburban setting and is primarily a residential campus. It offers associate, bachelor's, master's and doctoral degrees.",www.butler.edu,Medium-sized,"4,062","$37,010","$37,010","4600 Sunset Avenue, Indianapolis, IN 46208",12:1,Somewhat selective,68
Creighton (Men's),16-3-3,0.84,7-1-1,Big East,Nebraska,Omaha,Elmar Bolowich,402-280-2720,Bluejays,Conference Standing: 1,"JR,SR,SR,FR,JR,JR,JR,FR,SR,SR,SO,JR,FR,FR,SO,FR,JR,FR,JR,SO,JR,FR,JR,SR,FR,FR",32,11,"A medium-sized, 4-year, private university. This coed college is located in a very large city in an urban setting and is primarily a residential campus. It offers certificate, associate, bachelor's, master's and doctoral degrees.",www.creighton.edu,Medium-sized,"4,065","$36,422","$36,422","2500 California Plaza, Omaha, NE 68178",11:1,Somewhat selective,73
DePaul (Men's),4-10-4,0.29,1-6-2,Big East,Illinois,Chicago,Craig Blazer,773-325-7231,Blue Demons,Conference Standing: 9,"SO,FR,SR,SR,JR,SR,FR,FR,JR,SO,FR,SO,FR,FR,FR,JR,SO,FR,FR,SO,SR,SR,FR,FR,SR,SO",17,30,"A large, 4-year, private university. This coed college is located in a very large city in an urban setting and is primarily a commuter campus. It offers certificate, bachelor's, master's and doctoral degrees.",www.depaul.edu,Large,"16,153","$36,361","$36,361","One East Jackson Boulevard, Chicago, IL 60604",17:1,Somewhat selective,65
Georgetown (Men's),14-4-5,0.78,6-2-1,Big East,District of Columbia,Washington,Brian Wiese,703-597-5815,Hoyas,Conference Standing: 3,"SR,SR,JR,FR,SO,FR,FR,SO,JR,JR,JR,SR,JR,SR,SO,SR,FR,FR,SO,SO,JR,SO,FR,SO,SO",30,15,"A small, 4-year, private liberal arts college. This coed college is located in a large town in a suburban setting and is primarily a residential campus. It offers bachelor's and master's degrees.",www.georgetowncollege.edu,Small,979,"$34,280","$34,280","400 East College Street, Georgetown, KY 40324",9:1,Less selective,89
Marquette (Men's),8-6-4,0.57,2-3-4,Big East,Wisconsin,Milwaukee,Louis Bennett,414-313-3325,Golden Eagles,Conference Standing: 6,"SR,SO,FR,JR,FR,FR,FR,JR,JR,SR,FR,SO,SR,SR,FR,JR,SO,SO,FR,FR,SO,SO,SO,SO,FR",24,14,"A medium-sized, 4-year, private university. This coed college is located in a very large city in an urban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.marquette.edu,Medium-sized,"8,410","$37,170","$37,170","1250 West Wisconsin Avenue, Milwaukee, WI 53233",14:1,Somewhat selective,67
Providence (Men's),16-5-2,0.76,5-2-2,Big East,Rhode Island,Providence,Craig Stewart,401-865-2322,Friars,Conference Standing: 4,"SR,SO,SR,SR,JR,SR,SR,JR,SR,SR,SR,SR,SR,SO,SO,JR,SO,SO,SO,SR,FR,SR,SO,SO,SO,SO",44,26,"A medium-sized, 4-year, private liberal arts college. This coed college is located in a small city in a suburban setting and is primarily a residential campus. It offers certificate, associate, bachelor's and master's degrees.",www.providence.edu,Medium-sized,"4,176","$45,400","$45,400","1 Cunningham Square, Providence, RI 02918",12:1,Somewhat selective,63
Seton Hall (Men's),5-7-5,0.42,2-4-3,Big East,New Jersey,South Orange,Gerson Echeverry,973-761-9693,Pirates,Conference Standing: 7,"SR,SR,SO,SR,SR,SR,SO,SR,SR,SR,SR,JR,JR,SR,JR,SR,SR,SR,JR,SR,SO,SO,SR,SR,SR,JR,SO,SO",21,27,"A medium-sized, 4-year, private university. This coed college is located in a large town in a suburban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.shu.edu,Medium-sized,"5,817","$38,272","$38,272","400 South Orange Avenue, South Orange, NJ 07079",14:1,Less selective,76
St. John's (Men's),4-10-4,0.29,1-7-1,Big East,New York,Queens,Dr. Dave Masur,718-990-6197,Red Storm,Conference Standing: 10,"JR,JR,JR,SR,SR,SO,SO,SR,SR,SO,SR,SO,JR",15,24,"A small, 4-year, private university and liberal arts college. This coed college is located in a rural community in a rural setting and is primarily a residential campus. It offers bachelor's and master's degrees.",www.csbsju.edu,Small,"1,789","$40,226","$40,226","2850 Abbey Plaza, Collegeville, MN 56321",12:1,Less selective,79
Villanova (Men's),8-8-3,0.50,3-4-2,Big East,Pennsylvania,Villanova,Tom Carlin,610-551-5453,Wildcats,Conference Standing: 5,"SR,SO,SO,JR,SO,JR,SR,SO,SR,SR,JR,SO,SR,SO,JR,JR,FR,SR,SO,JR,SR,SR,SR,SO,SR",22,17,"A medium-sized, 4-year, private university. This coed college is located in a large town in a suburban setting and is primarily a residential campus. It offers associate, bachelor's, master's and doctoral degrees.",www.villanova.edu,Medium-sized,"7,118","$47,616","$47,616","800 Lancaster Avenue, Villanova, PA 19085",12:1,Very selective,49
Xavier (Men's),15-6-2,0.71,6-1-2,Big East,Ohio,Cincinnati,Andy Fleming,513-475-3879,Musketeers,Conference Standing: 2,"SR,JR,FR,SR,SR,FR,SO,FR,JR,SO,SR,FR,JR,SO,JR,FR,FR,JR,JR,FR,JR,FR,SO,FR,SR,SO,SO",35,20,"A medium-sized, 4-year, private university. This coed college is located in a very large city in an urban setting and is primarily a commuter campus. It offers bachelor's, master's and doctoral degrees.",www.xula.edu,Medium-sized,"2,359","$22,349","$22,349","One Drexel Drive, New Orleans, LA 70125",14:1,Somewhat selective,66
Campbell (Men's),5-13-0,0.28,2-7-0,Big South,North Carolina,Buies Creek,Steve Armas,910-893-1333,Fighting Camels,Conference Standing: 8,"FR,JR,FR,SR,FR,SR,SR,SR,SR,FR,JR,SO,SO,FR,SR,JR,SR,FR,SR,JR,FR,SO,FR,FR,FR,FR",19,36,"A medium-sized, 4-year, private university and liberal arts college. This coed college is located in a rural community in a rural setting and is primarily a residential campus. It offers associate, bachelor's, master's and doctoral degrees.",www.campbell.edu,Medium-sized,"4,296","$28,635","$28,635","450 Leslie Campbell Avenue, Buies Creek, NC 27506",--,,
Coastal Carolina (Men's),16-6-1,0.73,7-1-1,Big South,South Carolina,Conway,Shaun Docking,843-421-8874,Chanticleers,Conference Standing: 2,"JR,SR,SO,FR,SR,SR,SR,SR,SR,SO,JR,JR,SR,JR,FR,SR,JR,FR,FR,SR,FR,SO,SR,FR,FR,SO,FR,SR",48,20,"A medium-sized, 4-year, public university. This coed college is located in a large town in a suburban setting and is primarily a commuter campus. It offers certificate, bachelor's, master's and doctoral degrees.",www.coastal.edu,Medium-sized,"9,364","$10,050","$23,390","103 Tom Trout Drive, Conway, SC 29526",17:1,Somewhat selective,64
Gardner-Webb (Men's),3-13-1,0.19,1-7-1,Big South,North Carolina,Boiling Springs,Tony Setzer,,Runnin' Bulldogs,Conference Standing: 9,"SO,JR,SR,FR,JR,SO,FR,JR,SR,JR,SO,JR,JR,SR,SO,FR,FR,SO,FR,JR,SR,SR,FR,SR,FR,FR,FR,FR,SR,SO,JR,FR,FR,FR,FR,FR",22,39,"A small, 4-year, private university and liberal arts college. This coed college is located in a small town in a rural setting and is primarily a residential campus. It offers associate, bachelor's, master's and doctoral degrees.",www.gardner-webb.edu,Small,"1,537","$28,280","$28,280","110 South Main Street, Boiling Springs, NC 28017",--,Less selective,99
High Point (Men's),9-8-2,0.53,6-2-1,Big South,North Carolina,High Point,Dustin Fonder,336-263-1962,Panthers,Conference Standing: 4,"FR,FR,JR,SO,JR,JR,SR,FR,JR,FR,SR,FR,FR,SO,SO,FR,SO,JR,SO,JR,FR,SO,SR,JR,FR,FR,SO,FR,JR,SO",27,24,"A medium-sized, 4-year, private university and liberal arts college. This coed college is located in a small city in a suburban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.highpoint.edu,Medium-sized,"4,208","$32,430","$32,430","833 Montlieu Avenue, High Point, NC 27268",15:1,Less selective,80
Liberty (Men's),11-6-1,0.65,6-3-0,Big South,Virginia,Lynchburg,Jeff Alder,434-473-9214,Flames,Conference Standing: 5,"SR,FR,JR,SO,FR,JR,FR,FR,JR,JR,SO,JR,FR,FR,JR,JR,FR,SO,JR,FR,FR,JR,JR,FR,SO",30,23,"A medium-sized, 4-year, private university. This coed college is located in a small city in a suburban setting and is primarily a residential campus. It offers certificate, associate, bachelor's, master's and doctoral degrees.",www.liberty.edu,Medium-sized,"12,645","$22,000","$22,000","1971 University Boulevard, Lynchburg, VA 24515",18:1,Most selective,20
Longwood (Men's),4-14-1,0.22,3-6-0,Big South,Virginia,Farmville,Jon Atkinson,434-390-4912,Lancers,Conference Standing: 7,"SO,JR,SR,SO,JR,JR,SR,SR,SO,SO,SR,SO,SO,JR,JR,JR,SR,SR,JR,JR,SO,JR,SO,SR",25,46,"A medium-sized, 4-year, public university. This coed college is located in a small town in a rural setting and is primarily a residential campus. It offers bachelor's and master's degrees.",www.longwood.edu,Medium-sized,"4,574","$11,580","$25,350","201 High Street, Farmville, VA 23909",17:1,Somewhat selective,73
Presbyterian (Men's),1-14-0,0.07,0-9-0,Big South,South Carolina,Clinton,Bret Boulware,864-525-3219,Blue Hose,Conference Standing: 10,"FR,FR,FR,JR,SR,JR,SR,SO,SO,FR,SO,SR,SO,SO,SR,FR,FR,FR,SO,SO,FR,FR,JR,FR,JR,SO",7,45,"A small, 4-year, private college of pharmacy and liberal arts college. This coed college is located in a small town in a rural setting and is primarily a residential campus. It offers bachelor's and doctoral degrees.",www.presby.edu,Small,"1,146","$36,130","$36,130","503 South Broad Street, Clinton, SC 29325",12:1,Somewhat selective,54
Radford (Men's),12-5-3,0.71,8-1-0,Big South,Virginia,Radford,Marc Reeves,917-841-4587,Highlanders,Conference Standing: 1,"FR,FR,SR,JR,SO,JR,SO,FR,SR,SR,FR,SR,FR,SR,SR,FR,SO,FR,JR,SO,JR,FR,JR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,SR",32,17,"A medium-sized, 4-year, public university. This coed college is located in a large town in a rural setting and is primarily a residential campus. It offers certificate, bachelor's, master's and doctoral degrees.",www.radford.edu,Medium-sized,"8,885","$9,360","$21,600","801 East Main Street, Radford, VA 24142",18:1,Less selective,79
UNC Asheville (Men's),5-9-3,0.36,3-4-2,Big South,North Carolina,Asheville,Matt Kern,828-545-8927,Bulldogs,Conference Standing: 6,"SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,JR,JR,JR,SR,JR,JR,SR,SR,SR",14,29,"A medium-sized, 4-year, public university and liberal arts college. This coed college is located in a small city in an urban setting and is primarily a residential campus. It offers bachelor's and master's degrees.",www.unca.edu,Medium-sized,"3,804","$6,392","$21,263","One University Heights, Asheville, NC 28804",14:1,Somewhat selective,73
Winthrop (Men's),13-4-2,0.76,6-2-1,Big South,South Carolina,Rock Hill,Rich Posipanko,803-323-2129 Ext.,Eagles,Conference Standing: 3,"JR,SR,JR,SR,JR,SR,SR,JR,SR,SR,JR,SR,SO,JR,SO,SR,SR,SO,JR,SR,SO,SO,JR,SO,SO,SO,SO,SR",44,23,"A medium-sized, 4-year, public university. This coed college is located in a small city in a suburban setting and is primarily a residential campus. It offers bachelor's and master's degrees.",www.winthrop.edu,Medium-sized,"4,974","$13,812","$26,738","701 Oakland Avenue, Rock Hill, SC 29733",14:1,Somewhat selective,71
Indiana (Men's),12-5-5,0.71,3-3-2,Big Ten,Indiana,Bloomington,Todd Yeagley,812-855-0051,Hoosiers,Conference Standing: 6,"JR,SR,SO,SO,JR,FR,FR,JR,FR,JR,SO,FR,FR,JR,SR,SR,FR,SO,SR,FR,JR,SO,SR,FR,SO,SO,SO,FR,JR,SO,JR",35,22,"A medium-sized, 4-year, public university. This coed college is located in a small city in an urban setting and is primarily a residential campus. It offers certificate, associate, bachelor's, master's and doctoral degrees.",www.indstate.edu,Medium-sized,"10,881","$8,416","$18,346","200 North Seventh Street, Terre Haute, IN 47809",20:1,Less selective,83
Maryland (Men's),12-6-3,0.67,5-2-1,Big Ten,Maryland,College Park,Sasho Cirovski,410--70-7-44 Ext.,Terrapins,Conference Standing: 1,"SO,SO,SR,JR,FR,SR,JR,SR,SR,SR,JR,JR,JR,SR,SO,SO,SO,SO,JR,SO",32,17,"A large, 4-year, public university. This coed college is located in a large town in a suburban setting and is primarily a commuter campus. It offers certificate, bachelor's, master's and doctoral degrees.",www.maryland.edu,Large,"27,056","$9,427","$29,720","Mitchell Building, College Park, MD 20742",17:1,Very selective,47
Michigan (Men's),6-9-3,0.40,3-3-2,Big Ten,Michigan,Ann Arbor,Chaka Daley,,Wolverines,Conference Standing: 7,"SR,FR,SO,JR,SO,SR,FR,SR,JR,SR,SR,SO,FR,SO,JR,SO,SO,SO,SR,SO,FR,FR,FR,SR,SO",20,23,"A large, 4-year, public university. This coed college is located in a small city in an urban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.umich.edu,Large,"28,395","$13,486","$41,906","1220 Student Activities Building, 525 East Jefferson Street, Ann Arbor, MI 48109",15:1,Very selective,32
Michigan State (Men's),12-5-6,0.71,4-2-2,Big Ten,Michigan,East Lansing,Damon Rensing,517-355-8493,Spartans,Conference Standing: 5,"JR,JR,SO,FR,SR,JR,SR,SR,FR,FR,JR,SR,SO,SR,SO,SO,JR,SR,SO,SO,JR,SR,FR,SO,SR,JR,FR,FR",31,19,"A large, 4-year, public university. This coed college is located in a small city in a suburban setting and is primarily a residential campus. It offers certificate, bachelor's, master's and doctoral degrees.",www.msu.edu,Large,"38,786","$13,200","$34,965","250 Hannah Administration Building, East Lansing, MI 48824",17:1,Somewhat selective,66
Northwestern (Men's),9-4-6,0.69,4-1-3,Big Ten,Illinois,Evanston,Tim Lenahan,847-833-1496,Wildcats,Conference Standing: 3,"SR,JR,SR,SR,SO,SR,FR,FR,JR,FR,JR,SR,SR,SR,JR,JR,SO,JR,JR,SO,SO,FR,SR,SO,SO,SR,SR,FR",22,12,"A medium-sized, 4-year, private university. This coed college is located in a small city in a suburban setting and is primarily a residential campus. It offers certificate, bachelor's, master's and doctoral degrees.",www.northwestern.edu,Medium-sized,"9,177","$49,047","$49,047","633 Clark Street, Evanston, IL 60208",--,Most selective,13
Ohio State (Men's),9-8-5,0.53,5-3-0,Big Ten,Ohio,Columbus,John Bluem,614-292-3139,Buckeyes,Conference Standing: 4,"SR,FR,JR,SO,JR,SR,JR,SO,SO,SO,SO,SO,FR,FR,FR,SR,FR,SR,FR,SR,SO,SO,FR,SR,JR,JR,FR,SR,SR",28,22,"A small, 2-year, public agricultural college and branch campus. This coed college is located in a large town in a suburban setting and is primarily a residential campus. It offers certificate and associate degrees.",www.ati.osu.edu,Small,702,"$7,104","$23,604","1328 Dover Road, Wooster, OH 44691",17:1,Open admission,97
Penn State (Men's),13-6-1,0.68,5-3-0,Big Ten,Pennsylvania,University Park,Bob Warming,814-321-5770,Nittany Lions,Conference Standing: 2,"SR,JR,SO,SR,SO,JR,JR,SO,SO,SR,SR,SR,JR,JR,SO,SO,JR,FR,FR,JR,FR,FR,SO,JR,SO,SR,SO",29,18,"A large, 4-year, public university. This coed college is located in a large town in a suburban setting and is primarily a residential campus. It offers certificate, associate, bachelor's, master's and doctoral degrees.",www.psu.edu,Large,"40,541","$17,502","$30,452","201 Old Main, University Park, PA 16802",16:1,Somewhat selective,50
Rutgers (Men's),6-11-1,0.35,1-6-1,Big Ten,New Jersey,Piscataway,Dan Donigan,732-718-5413,Scarlet Knight,Conference Standing: 8,"SO,FR,JR,JR,JR,FR,JR,SR,SR,SO,FR,SR,JR,FR,SO,SO,JR,FR,SO,JR,FR,FR,JR,SO",21,33,"A medium-sized, 4-year, public university. This coed college is located in a small city in an urban setting and is primarily a commuter campus. It offers bachelor's, master's and doctoral degrees.",www.camden.rutgers.edu,Medium-sized,"4,857","$13,683","$27,978","406 Penn Street, Camden, NJ 08102",10:1,Somewhat selective,60
Wisconsin (Men's),3-12-3,0.20,0-7-1,Big Ten,Wisconsin,Madison,John Trask,608-225-3861,Badgers,Conference Standing: 9,"SO,SO,FR,FR,SR,JR,JR,JR,SO,FR,FR,SR,FR,SO,FR,FR,SR,SR,SO,FR,JR,SO,FR,JR,FR,FR,SO,FR,FR",20,34,"A medium-sized, 4-year, public university. This coed college is located in a large town in a rural setting and is primarily a residential campus. It offers associate, bachelor's and master's degrees.",www.uwplatt.edu,Medium-sized,"8,047","$7,491","$15,064","1 University Plaza, Platteville, WI 53818",21:1,Less selective,79
Cal Poly (Men's),8-7-4,0.53,3-5-2,Big West,California,San Luis Obispo,,,Mustangs,Conference Standing: 4,"FR,JR,FR,SO,FR,SR,JR,FR,JR,SO,FR,SO,SO,SO,FR,SO,FR,JR,SO,JR,FR,SO,FR,JR,JR",29,24,"A large, 4-year, public university. This coed college is located in a large town in a suburban setting and is primarily a residential campus. It offers bachelor's and master's degrees.",www.calpoly.edu,Large,"19,246","$9,000","$20,160","One Grand Avenue, San Luis Obispo, CA 93407",20:1,Very selective,31
Sacramento State (Men's),6-11-4,0.35,4-5-1,Big West,California,Sacramento,Michael Linenberger,916-803-8038,Hornets,Conference Standing: 3,"FR,SO,SO,SO,SR,SO,JR,SO,SO,SR,SR,SO,FR,SR,FR,FR,JR,FR,SR,SO,FR,FR,JR,FR,FR",18,38,"A large, 4-year, public university. This coed college is located in a very large city in an urban setting and is primarily a commuter campus. It offers bachelor's, master's and doctoral degrees.",www.csus.edu,Large,"26,648","$6,872","$18,032","6000 J Street, Sacramento, CA 95819",26:1,Open admission,100
UC Davis (Men's),7-4-9,0.64,5-3-2,Big West,California,Davis,Dwayne Shaffer,530-752-8892,Aggies,Conference Standing: 2,"SO,JR,SR,FR,FR,SR,FR,FR,FR,SO,JR,SR,JR,SR,SO,SO,JR,JR,SO,FR,FR,FR,FR,SR,SR,FR,SO,FR,FR",20,16,"A large, 4-year, public university. This coed college is located in a small city in a suburban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.ucdavis.edu,Large,"27,728","$13,896","$36,774","One Shields Avenue, Davis, CA 95616",--,Very selective,41
UC Santa Barbara (Men's),10-7-3,0.59,6-2-2,Big West,California,Santa Barbara,Tim Vom Steeg,805-893-6044,Gauchos,Conference Standing: 1,"FR,SR,FR,JR,SR,FR,SR,JR,JR,SO,JR,FR,SO,SO,FR,SO,SO,SO,SO",30,28,"A large, 4-year, public university. This coed college is located in a small city in a suburban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.ucsb.edu,Large,"20,238","$13,860","$36,738","552 University Road, Santa Barbara, CA 93106",17:1,Very selective,36
Cal State Fullerton (Men's),10-8-6,0.56,3-4-3,Big West,California,Fullerton,George Kuntz,657-278-3244,Titans,Conference Standing: 3,"SR,SR,SO,SR,SO,JR,SR,SR,SR,SR,SR,SR,JR,SR,SR,SO,SR,SO,SR,SO,SR,SO,JR,SR,SR,SO,SO,SO,SO",34,26,"A large, 4-year, public university. This coed college is located in a small city in a suburban setting and is primarily a commuter campus. It offers bachelor's, master's and doctoral degrees.",www.fullerton.edu,Large,"32,726","$6,436","$17,596","800 North State College Boulevard, Fullerton, CA 92831",25:1,Very selective,44
Cal State Northridge (Men's),7-9-3,0.44,3-5-2,Big West,California,Northridge,Terry Davila,818-974-3369,Matadors,Conference Standing: 4,"SO,JR,SO,JR,SO,SO,SR,JR,JR,SR,FR,SR,SO,SO,JR,SO,SO,FR,SO,SR,JR,JR,FR,SR,SO,JR,FR,FR,JR,JR,SO,FR,FR",19,19,"A large, 4-year, public university. This coed college is located in a very large city in an urban setting and is primarily a commuter campus. It offers bachelor's, master's and doctoral degrees.",www.csun.edu,Large,"35,206","$6,549","$17,709","18111 Nordhoff Street, Northridge, CA 91330",28:1,Somewhat selective,53
UC Irvine (Men's),16-6-3,0.73,4-5-1,Big West,California,Irvine,Chris Volk,949-824-1096,Anteaters,Conference Standing: 2,"JR,SO,FR,SO,FR,SO,JR,JR,SR,SR,SR,FR,FR,SO,SO,SR,SR,SO,SO,SO,JR,JR,SR,JR,SO,SO,JR,FR,SO,JR",37,24,"A large, 4-year, public university. This coed college is located in a small city in a suburban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.uci.edu,Large,"24,489","$14,757","$37,635","A138 Student Center, Irvine, CA 92697",19:1,Very selective,37
UC Riverside (Men's),5-10-4,0.33,4-3-3,Big West,California,Riverside,Tim Cupello,951-827-5022,Highlanders,Conference Standing: 1,"FR,FR,SR,FR,SR,SO,JR,FR,FR,SR,SR,JR,SR,SO,SO,JR,FR,SO,JR,FR,SO,FR,FR,SO,SO,SR,JR,JR",21,23,"A large, 4-year, public university. This coed college is located in a large city in a suburban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.ucr.edu,Large,"18,782","$13,407","$36,285","900 University Avenue, Riverside, CA 92521",--,Somewhat selective,58
College of Charleston (Men's),2-11-3,0.15,0-6-2,Colonial Athletic Association,South Carolina,Charleston,Ralph D. Lundy Jr.,803-479-0361,Cougars,Conference Standing: 9,"SR,SR,JR,SR,SR,SO,SO,SR,SR,SR,SO,JR,SO,SR,SR,SO,SO,SO,SR,SR,SO,JR,SR,JR",15,25,"A medium-sized, 4-year, public liberal arts college. This coed college is located in a large city in an urban setting. It offers bachelor's and master's degrees.",www.cofc.edu,Medium-sized,"10,440","$10,878","$27,868","66 George Street, Charleston, SC 29424",15:1,Less selective,78
Delaware (Men's),13-6-1,0.68,5-2-1,Colonial Athletic Association,Delaware,Newark,Ian Hennessy,302-650-8531,Blue Hens,Conference Standing: 1,"SR,SR,SR,SO,SR,SR,JR,SR,JR,SO,SR,SO,SR,SO,SR,SR,JR,SR,SR,SR,JR,SR,SR,SO,SR,SO,JR",41,22,"A large, 4-year, public university. This coed college is located in a large town in a suburban setting and is primarily a residential campus. It offers associate, bachelor's, master's and doctoral degrees.",www.udel.edu,Large,"18,141","$12,342","$30,692","210 South College Avenue, Newark, DE 19716",15:1,Somewhat selective,66
Drexel (Men's),5-10-3,0.33,1-6-1,Colonial Athletic Association,Pennsylvania,Philadelphia,Doug Hess,215-895-1936,Dragons,Conference Standing: 8,"SO,JR,SR,FR,SR,FR,SO,SR,SR,SR,FR,SR,SO,FR,FR,FR,SR,JR,SR,SO,JR,SO,FR,SR,FR,JR",15,25,"A large, 4-year, private university. This coed college is located in a very large city in an urban setting and is primarily a residential campus. It offers certificate, associate, bachelor's, master's and doctoral degrees.",www.drexel.edu,Large,"16,896","$48,791","$48,791","3141 Chestnut Street, Philadelphia, PA 19104",--,Less selective,76
